date,price,news
2022-02-01,319.00,
2022-02-02,323.00,"After market close Meta reports Q4 2021: EPS $3.67 misses the $3.84 estimate; Q1 revenue guidance of $27-29B falls below the ~$30B consensus; first-ever quarterly decline in daily active users; Apple privacy changes are hurting ad revenue; Reality Labs operating loss widens."
2022-02-03,237.76,"Meta crashes ~26% in regular trading - the biggest one-day drop ever at the time - erasing ~$230B of market value; multiple analysts downgrade and slash targets (e.g. JPMorgan cuts to Neutral, target $385 to $284); other social stocks fall in sympathy (Snap, Pinterest, Twitter)."
2022-02-04,237.09,"Selling continues as the 'the growth story is broken' narrative spreads; no rebound."
2022-02-07,224.00,
2022-02-08,220.18,
2022-02-09,232.00,
2022-02-10,228.34,
2022-02-11,219.55,
2022-02-14,217.70,
2022-02-15,221.00,
2022-02-16,216.54,
2022-02-17,207.71,
2022-02-18,206.16,
